"","Pitcher_Name","H","HR","R","ER","SO","BB","BK","W","L","HLD","SV","IP","ERA","WHIP"
"224","RENE COSS",4,0,5,5,1,3,0,0,0,0,0,2,22.5,3.5
"225","RICARDO JACQUEZ",6,0,2,2,3,2,1,0,1,0,0,3,6,2.67
"226","RICARDO RIVERO",4,0,1,1,1,1,0,0,0,1,0,2,4.5,2.5
"227","ROBERT GARCIA",10,1,5,4,8,4,0,1,0,0,0,9.1,3.86,1.5
"228","ROBERTO ESPINOSA",4,2,4,4,3,2,0,1,1,1,0,3.2,9.82,1.64
"229","ROBINSON LOPEZ",16,1,9,9,4,8,1,0,1,0,0,13.2,5.93,1.76
"230","RODOLFO AGUILAR",6,0,6,6,3,2,0,0,0,0,0,4.2,11.57,1.71
"231","RODOLFO AGUIRRE",13,2,8,8,4,4,0,1,0,0,0,7.1,9.82,2.32
"232","RODRIGO VALENZUELA",12,0,6,4,8,1,0,0,0,0,0,6.1,5.68,2.05
"233","ROGELIO BERNAL",11,0,4,2,5,5,0,1,0,0,0,9.1,1.93,1.71
"234","ROGELIO MARTINEZ",3,0,3,2,4,3,0,0,0,0,0,5.2,3.18,1.06
"235","ROLANDO VALDEZ",17,2,7,6,6,0,0,1,1,0,0,13.2,3.95,1.24
"236","ROMAN PENA",5,0,0,0,1,2,0,0,0,0,0,6,0,1.17
"237","ROMARIO GIL",5,0,1,1,12,4,0,1,0,0,0,10.1,0.87,0.87
"238","RONALD BELISARIO",4,0,1,0,8,1,0,0,0,0,4,8.1,0,0.6
"239","ROY MERRITT",18,1,7,7,8,4,0,0,0,0,0,14.1,4.4,1.53
"240","RUBEN VICENTE",2,1,1,1,1,3,0,0,0,0,0,5.2,1.59,0.88
"241","RUDDY ACOSTA",15,1,11,9,8,5,0,0,1,0,0,14,5.79,1.43
"242","RYAN PEREZ",16,4,12,11,6,10,0,0,2,0,0,10.1,9.58,2.52
"243","SALVADOR VALDEZ",11,0,8,8,3,5,0,0,0,0,0,9.2,7.45,1.66
"244","SAMUEL ZAZUETA",4,0,5,5,3,4,1,0,1,0,1,3.2,12.27,2.18
"245","SANTIAGO GUTIERREZ",3,0,2,2,7,2,0,0,0,2,0,4,4.5,1.25
"246","SASAGI SANCHEZ",8,1,3,2,5,2,0,0,0,1,0,9.1,1.93,1.07
"247","SERGIO ALVARADO",4,2,2,2,3,2,0,0,0,0,0,4,4.5,1.5
"248","SERGIO MITRE",1,0,0,0,1,0,0,0,0,0,0,1,0,1
"249","SERGIO SIERRA",8,1,5,4,6,7,0,0,1,0,0,5,7.2,3
"250","TERANCE MARIN",20,1,9,7,9,0,0,1,0,0,0,16.1,3.86,1.22
"251","THOMAS MELGAREJO",4,1,1,1,4,1,0,0,0,0,0,4,2.25,1.25
"252","TIAGO DA SILVA",14,0,6,4,16,3,0,2,0,0,0,12.2,2.84,1.34
"253","TOMAS SOLIS",11,0,4,2,4,2,0,0,0,0,0,10,1.8,1.3
"254","TONY CORDOVA",5,1,1,1,2,1,0,0,1,0,0,1,9,6
"255","TONY GUERRA",2,0,0,0,3,4,0,0,0,1,0,5.2,0,1.06
"256","TYLER KANE",18,2,9,8,6,3,0,1,1,0,0,17,4.24,1.24
"257","ULISES JOAQUIN",21,3,17,17,4,4,0,0,3,1,0,8,19.12,3.12
"258","ULISES LOPEZ",0,0,0,0,3,1,0,0,0,0,0,2,0,0.5
"259","VICTOR ESPINOSA",9,1,5,4,9,7,0,0,2,0,0,10.1,3.48,1.55
"260","WES TORREZ",7,0,3,2,4,3,0,0,0,0,0,4.2,3.86,2.14
"261","WILMER RIOS",8,0,2,2,3,2,0,0,0,0,0,7.2,2.35,1.3
"262","WIRFIN OBISPO",8,1,3,3,13,1,0,0,0,0,2,7,3.86,1.29
"263","YOANNER NEGRIN",11,1,4,4,3,3,0,1,0,0,0,12,3,1.17
"264","YOHAN FLANDE",20,0,8,7,8,4,1,1,0,0,0,15.1,4.11,1.57
"265","YOSSHEL HURTADO",9,0,2,2,6,4,0,1,0,0,0,7.2,2.35,1.7
"266","ZACH PHILLIPS",11,0,9,6,6,2,0,0,2,2,0,5.2,9.53,2.29
"267","JESUS PIRELA",1,0,0,0,0,0,0,0,0,1,0,0.2,0,1.5
"268","CARLOS ZUNIGA",2,0,0,0,0,0,0,0,0,0,0,1,0,2
"269","ERNESTO FRIERI",0,0,0,0,3,1,0,0,0,1,0,1,0,1
"270","CARLOS FELIX",7,0,1,1,1,2,0,0,0,0,0,5,1.8,1.8
"271","JUAN PANIAGUA",0,0,0,0,1,0,0,0,0,0,1,1,0,0
