"","X","Batter_Name","AB","R","H","D","Tr","HR","RBI","BB","SO","HBP","SB","SF","SH"
"189",189,"GENARO ANDRADE",9,0,3,0,0,0,0,1,1,0,0,0,0
"190",190,"GERARDO GUTIERREZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"191",191,"GERARDO SANCHEZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"192",192,"GILBERTO GALAVIZ",36,3,8,4,0,0,5,1,1,1,1,0,0
"193",193,"GONZALO OCHOA",0,0,0,0,0,0,0,0,0,0,0,0,0
"194",194,"GONZALO SANUDO",0,0,0,0,0,0,0,0,0,0,0,0,0
"195",195,"GUILLERMO TRUJILLO",0,0,0,0,0,0,0,0,0,0,0,0,0
"196",196,"HANS WILSON",7,0,2,0,0,0,0,0,0,0,0,0,0
"197",197,"HASSAN PENA",0,0,0,0,0,0,0,0,0,0,0,0,0
"198",198,"HECTOR AMBRIZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"199",199,"HECTOR GALVAN",0,0,0,0,0,0,0,0,0,0,0,0,0
"200",200,"HECTOR GOMEZ",59,14,16,5,0,2,7,2,15,0,1,0,0
"201",201,"HECTOR HERNANDEZ",5,0,1,0,0,0,0,0,1,0,0,0,0
"202",202,"HENDERSON ALVAREZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"203",203,"HENRY ALEJANDRO RODRIGUEZ",50,6,19,3,0,1,8,6,7,0,0,0,0
"204",204,"HENRY OMANA",0,0,0,0,0,0,0,0,0,0,0,0,0
"205",205,"HENRY URRUTIA",47,13,18,4,0,2,10,9,11,0,3,0,0
"206",206,"HERIBERTO RUELAS",0,0,0,0,0,0,0,0,0,0,0,0,0
"207",207,"HUGO GUTIERREZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"208",208,"HUMBERTO CASTRO",47,7,13,0,0,0,6,8,6,3,2,1,1
"209",209,"HUMBERTO MONTIEL",0,0,0,0,0,0,0,0,0,0,0,0,0
"210",210,"HUMBERTO SOSA",23,5,8,2,0,0,5,5,4,0,0,0,0
"211",211,"IRWIN DELGADO",0,0,0,0,0,0,0,0,0,0,0,0,0
"212",212,"ISAAC JIMENEZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"213",213,"ISAAC RODRIGUEZ SALAZAR",57,13,23,6,0,1,7,3,4,0,4,0,0
"214",214,"ISIDRO PINA",40,5,18,1,0,0,9,3,2,0,0,1,2
"215",215,"ISMAEL CASTILLO",0,0,0,0,0,0,0,0,0,0,0,0,0
"216",216,"ISSMAEL SALAS",36,4,12,3,0,1,7,2,5,0,1,3,0
"217",217,"IVAN ARAUJO",10,2,2,0,0,1,4,1,1,1,1,1,0
"218",218,"IVAN BELLAZETIN",8,2,1,0,0,0,0,0,0,0,1,0,0
"219",219,"IVAN JIMENEZ",33,2,7,0,0,0,0,3,18,1,1,0,2
"220",220,"IVAN SALAS",0,0,0,0,0,0,0,0,0,0,0,0,0
"221",221,"IVAN TERRAZAS",29,5,8,2,0,0,4,6,5,1,1,1,1
"222",222,"IVAN ZAVALA",0,0,0,0,0,0,0,0,0,0,0,0,0
"223",223,"J.P. RAMIREZ",19,2,4,0,0,1,3,1,5,0,0,0,0
"224",224,"JAIME BRENA",5,3,2,0,0,0,1,2,0,0,1,0,0
"225",225,"JAIME LUGO",0,0,0,0,0,0,0,0,0,0,0,0,0
"226",226,"JAMAR WALTON",53,8,12,4,1,1,4,4,9,1,1,0,0
"227",227,"JASON BOURGEOIS",44,6,14,3,0,1,10,5,4,0,3,0,0
"228",228,"JASON URQUIDEZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"229",229,"JAVIER MIRELES",21,4,7,1,0,2,3,1,5,0,1,0,1
"230",230,"JAVIER REYNOSO",0,0,0,0,0,0,0,0,0,0,0,0,0
"231",231,"JAVIER SALAZAR",51,8,10,1,2,0,6,3,5,2,0,1,0
"232",232,"JAVIER SOLANO",0,0,0,0,0,0,0,0,0,0,0,0,0
"233",233,"JEAN MACHI",0,0,0,0,0,0,0,0,0,0,0,0,0
"234",234,"JEFF IBARRA",0,0,0,0,0,0,0,0,0,0,0,0,0
"235",235,"JEMILE WEEKS",33,10,10,6,0,0,4,7,3,2,0,1,0
"236",236,"JEREMIAS PINEDA",46,13,14,4,0,1,7,11,10,2,8,0,0
"237",237,"JESSE ESTRADA",0,0,0,0,0,0,0,0,0,0,0,0,0
"238",238,"JESUS ADRIAN CASTILLO",0,0,0,0,0,0,0,0,0,0,0,0,0
"239",239,"JESUS ALBERTO VEGA",17,2,5,2,0,0,1,1,3,1,0,0,0
"240",240,"JESUS ALCANTAR",0,0,0,0,0,0,0,0,0,0,0,0,0
"241",241,"JESUS ANGUAMEA",0,0,0,0,0,0,0,0,0,0,0,0,0
"242",242,"JESUS ARREDONDO",42,6,12,1,1,2,10,8,16,0,0,2,0
"243",243,"JESUS BARRAZA",0,0,0,0,0,0,0,0,0,0,0,0,0
"244",244,"JESUS CAPORAL",3,1,1,0,1,0,1,0,0,0,0,0,0
"245",245,"JESUS CASTILLO",47,9,17,2,0,5,13,10,8,1,0,0,0
"246",246,"JESUS FABELA",37,11,13,2,0,1,7,7,8,3,3,1,1
"247",247,"JESUS GARCIA",0,0,0,0,0,0,0,0,0,0,0,0,0
"248",248,"JESUS LOYA",35,10,11,2,0,0,5,5,6,0,1,1,1
"249",249,"JESUS MONTERO",55,8,16,3,0,1,6,4,14,0,0,1,0
