"","Pitcher_Name","H","HR","R","ER","SO","BB","BK","W","L","HLD","SV","IP","ERA","WHIP"
"256","RYAN PEREZ",16,4,12,11,8,10,0,0,2,0,0,13.2,7.24,1.9
"257","SALVADOR VALDEZ",20,2,14,11,6,10,0,1,1,0,0,16.1,6.06,1.84
"258","SAMUEL ZAZUETA",5,0,6,6,5,7,2,0,1,0,1,5.1,10.12,2.25
"259","SANTIAGO GUTIERREZ",8,0,6,6,8,3,0,0,0,6,0,9,6,1.22
"260","SASAGI SANCHEZ",17,1,6,4,10,4,0,1,1,1,0,13.2,2.63,1.54
"261","SAUL CASTELLANOS",2,0,0,0,1,1,0,0,0,0,0,1.2,0,1.8
"262","SERGIO ALVARADO",6,2,2,2,10,5,0,0,0,0,0,10.1,1.74,1.06
"263","SERGIO MITRE",2,0,0,0,2,0,0,0,0,0,0,2,0,1
"264","SERGIO SIERRA",10,2,8,7,7,8,0,0,1,0,0,5.1,11.81,3.38
"265","SERGIO VALENZUELA",6,1,1,1,1,1,0,0,0,0,0,5,1.8,1.4
"266","TERANCE MARIN",23,3,12,10,11,2,0,1,1,0,0,20.2,4.35,1.21
"267","THOMAS MELGAREJO",9,1,4,4,7,2,0,0,0,1,0,6.1,5.68,1.74
"268","TIAGO DA SILVA",33,0,15,10,28,5,0,3,1,0,0,25.2,3.51,1.48
"269","TOMAS SOLIS",18,0,9,7,6,7,0,1,0,0,0,15,4.2,1.67
"270","TONY AMEZCUA",1,0,2,2,0,5,0,0,0,0,0,1,18,6
"271","TONY CORDOVA",8,1,2,2,2,1,0,0,1,0,0,1.2,10.8,5.4
"272","TONY GUERRA",4,0,0,0,5,5,0,0,0,2,0,9,0,1
"273","TYLER KANE",24,4,13,11,7,7,0,1,2,0,0,22.1,4.43,1.39
"274","ULISES JOAQUIN",22,3,17,17,6,5,0,0,3,2,0,10.2,14.34,2.53
"275","ULISES LOPEZ",3,1,5,5,3,4,0,0,1,0,0,4,11.25,1.75
"276","VICTOR ESPINOSA",12,3,10,8,12,12,1,0,3,0,0,15,4.8,1.6
"277","WES TORREZ",12,0,5,4,7,6,0,0,0,0,0,8.2,4.15,2.08
"278","WILMER RIOS",13,0,4,4,4,3,0,0,0,1,0,13.2,2.63,1.17
"279","WIRFIN OBISPO",15,1,5,5,19,3,0,1,1,0,3,12,3.75,1.5
"280","YOANNER NEGRIN",28,3,11,11,4,4,0,2,0,0,0,25.2,3.86,1.25
"281","YOHAN FLANDE",28,0,11,10,10,4,1,1,0,0,0,21.1,4.22,1.5
"282","YOSSHEL HURTADO",9,0,3,2,7,5,0,2,1,2,0,9.2,1.86,1.45
"283","ZACH PHILLIPS",12,0,10,6,6,3,0,0,2,2,0,6.2,8.1,2.25
