"","Pitcher_Name","SO","BB","IP","ERA","WHIP","BB/9","K/9"
"170","MARCO RAMIREZ",3,2,3.2,2.45,1.09,4.91,7.36
"171","MARCO TOVAR",3,4,5,1.8,1.4,7.2,5.4
"172","MARCOS MACHADO",0,0,0.1,27,6,0,0
"173","MARCOS RIVAS",0,1,2.1,0,1.29,3.86,0
"174","MARIO GONZALEZ",1,1,6,4.5,1.67,1.5,1.5
"175","MARIO MORALES",1,2,2.2,6.75,2.25,6.75,3.38
"176","MARK SERRANO",4,0,3.2,4.91,0.82,0,9.82
"177","MARLON ARIAS",6,10,7,12.86,2.57,12.86,7.71
"178","MARTIN SOTELO",0,1,2.1,3.86,1.71,3.86,0
"179","MAURICIO LARA",3,2,3,3,1.67,6,9
"180","MICHAELANGELO GUZMAN",0,2,0.1,54,18,54,0
"181","MIGUEL MEJIA",0,1,2.1,3.86,1.29,3.86,0
"182","MIGUEL PENA",1,3,5,1.8,1.2,5.4,1.8
"183","MITCH LAMBSON",9,1,12,2.25,0.92,0.75,6.75
"184","NATHANAEL SANTIAGO",5,2,3.1,2.7,0.6,5.4,13.5
"185","NICK STRUCK",4,2,4,0,1.25,4.5,9
"186","NICOLAS HEREDIA",3,1,3,6,1.33,3,9
"187","NORMAN ELENES",4,2,3,3,0.67,6,12
"188","OCTAVIO ACOSTA",4,1,5.2,1.59,1.06,1.59,6.35
"189","ORLANDO LARA",2,0,3,9,2,0,6
"190","OSCAR FELIX",1,0,0.2,0,0,0,13.5
"191","OSCAR HURTADO",2,4,3.2,4.91,2.45,9.82,4.91
"192","OSCAR VERDUGO",5,2,4.1,2.08,1.38,4.15,10.38
"193","OZZIE MENDEZ",2,2,3,6,2,6,6
"194","PATRICK JOHNSON",1,2,5,3.6,1.6,3.6,1.8
"195","PATRICK MCCOY",3,0,4,0,0.5,0,6.75
"196","PAUL CLEMENS",5,3,8,2.25,1,3.38,5.62
"197","PAUL PAEZ",1,2,0.2,67.5,7.5,27,13.5
"198","PEDRO RODRIGUEZ",1,0,3,0,0.67,0,3
"199","PEDRO VILLARREAL",1,0,3.2,4.91,0.55,0,2.45
"200","PHIL COKE",3,1,4,9,1.25,2.25,6.75
"201","RAFAEL DIAZ",4,1,4.1,2.08,0.69,2.08,8.31
"202","RAFAEL MARTIN",4,0,2,4.5,0.5,0,18
"203","RAFAEL PINEDA",2,0,3.2,7.36,1.64,0,4.91
"204","RAUL BARRON",0,1,1,18,4,9,0
"205","RAUL CARRILLO",4,1,5,7.2,1.6,1.8,7.2
"206","REFUGIO MARIN",0,2,0.2,0,3,27,0
"207","REINIER ROIBAL",4,1,5,3.6,1.2,1.8,7.2
"208","RENE COSS",0,1,0.1,54,6,27,0
"209","RICARDO JACQUEZ",0,1,1,0,2,9,0
"210","RICARDO RIVERO",1,0,0.1,27,6,0,27
"211","ROBERT GARCIA",3,1,4.1,6.23,1.38,2.08,6.23
"212","ROBERTO ESPINOSA",3,1,3,0,0.67,3,9
"213","ROBINSON LOPEZ",2,6,7.2,9.39,2.09,7.04,2.35
"214","RODOLFO AGUILAR",3,0,1.2,5.4,1.8,0,16.2
"215","RODOLFO AGUIRRE",1,0,2.1,11.57,2.14,0,3.86
"216","RODRIGO VALENZUELA",3,0,1.2,16.2,3.6,0,16.2
"217","ROGELIO BERNAL",4,3,4.1,2.08,1.85,6.23,8.31
"218","ROGELIO MARTINEZ",1,2,2.2,0,1.12,6.75,3.38
"219","ROLANDO VALDEZ",4,0,8,5.62,1.5,0,4.5
"220","ROMAN PENA",1,0,4.1,0,0.92,0,2.08
"221","ROMARIO GIL",4,2,4.1,2.08,1.15,4.15,8.31
"222","RONALD BELISARIO",1,1,4.1,0,0.92,2.08,2.08
"223","ROY MERRITT",3,2,4,4.5,2,4.5,6.75
"224","RUBEN VICENTE",1,0,3,0,0,0,3
"225","RUDDY ACOSTA",6,4,9,6,1.33,4,6
"226","RYAN PEREZ",3,4,4,6.75,2.25,9,6.75
"227","SALVADOR VALDEZ",3,2,5.2,1.59,1.06,3.18,4.76
"228","SAMUEL ZAZUETA",1,2,0.2,54,4.5,27,13.5
"229","SANTIAGO GUTIERREZ",1,1,1.1,6.75,2.25,6.75,6.75
"230","SASAGI SANCHEZ",2,1,5,1.8,1,1.8,3.6
"231","SERGIO ALVARADO",2,2,2,0,1,9,9
"232","SERGIO MITRE",1,0,1,0,1,0,9
"233","SERGIO SIERRA",2,4,2,9,4,18,9
"234","TERANCE MARIN",5,0,6,3,0.83,0,7.5
"235","THOMAS MELGAREJO",0,1,1.1,6.75,2.25,6.75,0
"236","TIAGO DA SILVA",6,1,5.2,1.59,1.06,1.59,9.53
"237","TOMAS SOLIS",3,0,4,2.25,0.75,0,6.75
"238","TONY CORDOVA",1,1,0.2,0,7.5,13.5,13.5
"239","TONY GUERRA",1,2,2.2,0,1.5,6.75,3.38
"240","TYLER KANE",0,1,5,3.6,1.4,1.8,0
"241","ULISES JOAQUIN",0,2,3.1,16.2,3.6,5.4,0
"242","VICTOR ESPINOSA",5,3,6,4.5,1.33,4.5,7.5
"243","WES TORREZ",3,2,2.2,3.38,2.62,6.75,10.12
"244","WILMER RIOS",2,0,3,0,1,0,6
"245","WIRFIN OBISPO",8,1,4,4.5,1.5,2.25,18
"246","YOANNER NEGRIN",1,2,5,7.2,2.2,3.6,1.8
"247","YOHAN FLANDE",3,1,4.2,7.71,1.71,1.93,5.79
"248","YOSSHEL HURTADO",0,2,2,4.5,2,9,0
"249","ZACH PHILLIPS",3,1,4,0,1,2.25,6.75
