"","Pitcher_Name","OUT","H","HR","R","ER","SO","BB","BK","W","L","HLD","SV"
"128","JESUS PIRELA",13,7,1,2,2,2,1,0,0,0,2,0
"129","JOAQUIN LARA",31,17,1,10,8,9,2,0,1,0,0,0
"130","JOHN MILLAN",11,7,0,3,3,0,2,0,0,0,0,0
"131","JONATHAN CASTELLANOS",61,23,0,6,6,9,9,0,3,0,0,0
"132","JONATHAN FRUTOS",16,7,0,3,3,3,7,0,0,0,0,0
"133","JONATHAN PARTIDA",15,4,1,2,2,4,3,0,0,0,1,0
"134","JORDAN ABOITES",22,8,2,6,5,8,6,0,0,3,0,0
"135","JORGE IBARRA",20,7,0,3,3,7,2,0,0,0,4,0
"136","JORGE QUINONES",4,2,0,2,2,0,1,0,0,0,0,0
"137","JORGE REYES",53,21,1,8,8,15,5,0,0,0,0,0
"138","JORGE RIVERA",45,16,0,7,6,11,2,0,0,0,2,0
"139","JOSE ASCANIO",11,5,0,2,2,2,1,0,0,0,0,2
"140","JOSE BARAJAS",33,15,1,12,11,6,8,0,0,2,0,0
"141","JOSE CARLOS MEDINA",16,7,1,3,3,5,2,0,0,1,0,0
"142","JOSE FRUTOS",16,6,0,1,1,4,2,0,0,0,0,0
"143","JOSE HAROS",3,1,0,0,0,1,0,0,0,0,0,0
"144","JOSE ISIDRO MARQUEZ",13,4,2,2,2,5,3,0,0,0,2,0
"145","JOSE LOPEZ CRUZ",27,18,0,8,8,6,3,0,1,1,1,0
"146","JOSE MANUEL LOPEZ",29,14,1,3,3,9,4,0,0,0,4,1
"147","JOSE MARRUJO",42,20,2,17,16,7,9,0,1,1,0,0
"148","JOSE MERAZ",6,3,1,3,3,2,0,0,0,0,1,0
"149","JOSE PINA",83,19,2,6,6,21,10,0,3,1,0,0
"150","JOSE SAMAYOA",75,17,0,3,3,15,6,1,2,1,0,0
"151","JOSH JUDY",26,7,0,2,2,1,2,0,0,1,3,0
"152","JOSH LOWEY",93,33,3,14,14,29,11,0,2,2,0,0
"153","JOSH LUEKE",31,6,0,2,2,9,2,0,1,0,0,6
"154","JOVANY LOPEZ",10,9,1,10,10,2,2,0,0,0,1,0
"155","JUAN GRULLON",25,14,1,7,5,10,4,0,2,0,0,1
"156","JUAN MACIAS",20,8,0,2,2,5,1,0,0,0,0,0
"157","JUAN OMAR ESPINOZA",31,10,1,8,7,6,4,0,0,0,0,0
"158","JUAN PABLO ORAMAS",68,18,1,7,5,15,10,0,2,0,0,0
"159","JUAN PANIAGUA",8,2,0,1,1,3,1,0,0,0,0,2
"160","JUAN RAMON NORIEGA",32,11,1,5,5,7,1,0,2,0,4,0
"161","JUAN RODRIGUEZ",20,8,0,8,8,3,6,0,0,1,2,0
"162","JUAN SANDOVAL",33,15,2,7,7,6,1,0,2,1,2,0
"163","JULIAN ARBALLO",21,10,2,6,6,6,6,0,0,0,2,0
"164","JULIO FELIX",32,8,1,8,8,8,4,0,1,0,1,0
"165","KELVIN MARTE",58,25,0,14,11,10,9,0,1,2,0,0
"166","KYLE DRABEK",6,7,2,11,11,2,7,0,0,2,0,0
"167","KYLE LOBSTEIN",63,17,1,4,4,16,10,0,2,0,0,0
"168","LENIX OSUNA",4,3,1,2,2,3,0,0,0,0,0,0
"169","LEURIS GOMEZ",58,25,1,8,7,17,7,0,1,1,0,0
"170","LINDER CASTRO",29,10,0,2,2,11,2,0,2,0,2,0
"171","LOIGER PADRON",14,4,0,2,1,5,2,0,1,1,3,0
