"","Batter_Name","AB","R","H","D","Tr","HR","RBI","BB","SO","HBP","SB","SF","SH"
"326","JUAN PABLO ORAMAS",0,0,0,0,0,0,0,0,0,0,0,0,0
"327","JUAN PANIAGUA",0,0,0,0,0,0,0,0,0,0,0,0,0
"328","JUAN RAMON NORIEGA",0,0,0,0,0,0,0,0,0,0,0,0,0
"329","JUAN RODRIGUEZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"330","JUAN SANDOVAL",0,0,0,0,0,0,0,0,0,0,0,0,0
"331","JUAN TORRES",35,1,8,1,0,0,1,3,4,2,0,0,0
"332","JULIAN ARBALLO",0,0,0,0,0,0,0,0,0,0,0,0,0
"333","JULIAN ORNELAS",23,5,6,1,0,1,8,3,6,0,2,0,0
"334","JULIO FELIX",0,0,0,0,0,0,0,0,0,0,0,0,0
"335","JULIO PEREZ",1,0,1,0,0,0,1,0,0,0,0,0,0
"336","JUNIOR LAKE",29,6,10,1,0,2,6,5,8,1,3,2,0
"337","JUSTIN GREENE",91,19,24,2,0,3,8,10,17,2,16,0,1
"338","KELVIN MARTE",0,0,0,0,0,0,0,0,0,0,0,0,0
"339","KEVIN FLORES",13,4,6,1,0,0,1,0,4,0,0,0,0
"340","KRISTIAN DELGADO",60,5,18,5,1,0,6,4,7,1,1,2,1
"341","KYLE DRABEK",0,0,0,0,0,0,0,0,0,0,0,0,0
"342","KYLE LOBSTEIN",0,0,0,0,0,0,0,0,0,0,0,0,0
"343","LEANDRO CASTRO",29,3,7,1,1,1,5,1,9,0,0,0,0
"344","LENIX OSUNA",0,0,0,0,0,0,0,0,0,0,0,0,0
"345","LEO GERMAN",56,8,20,3,2,1,5,2,12,2,5,0,1
"346","LEO HERAS",44,5,13,3,1,0,6,8,8,0,0,0,3
"347","LEURIS GOMEZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"348","LINDER CASTRO",0,0,0,0,0,0,0,0,0,0,0,0,0
"349","LOIGER PADRON",0,0,0,0,0,0,0,0,0,0,0,0,0
"350","LUIS ALFONSO CRUZ",45,5,13,2,1,2,9,3,7,0,1,2,1
"351","LUIS ALFONSO GARCIA",61,10,21,5,0,2,12,8,12,1,0,0,0
"352","LUIS ANGEL DANIEL",0,0,0,0,0,0,0,0,0,0,0,0,0
"353","LUIS AYALA",0,0,0,0,0,0,0,0,0,0,0,0,0
"354","LUIS DE LA O",0,0,0,0,0,0,0,0,0,0,0,0,0
"355","LUIS DE LUNA",0,0,0,0,0,0,0,0,0,0,0,0,0
"356","LUIS DOMOROMO",25,9,11,4,0,1,3,0,5,0,0,0,0
"357","LUIS FONSECA",30,1,4,1,0,0,3,1,8,0,0,0,0
"358","LUIS IVAN RODRIGUEZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"359","LUIS JUAREZ",85,15,31,7,0,2,18,9,7,0,0,1,0
"360","LUIS MAURICIO SUAREZ",59,8,18,4,1,2,8,8,13,0,0,1,0
"361","LUIS MEDINA",3,1,1,1,0,0,0,0,1,0,1,0,0
"362","LUIS MENDEZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"363","LUIS NIEBLA",0,0,0,0,0,0,0,0,0,0,0,0,0
"364","LUIS PAYAN",0,0,0,0,0,0,0,0,0,0,0,0,0
"365","LUIS PEREZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"366","MAIKEL CLETO",0,0,0,0,0,0,0,0,0,0,0,0,0
"367","MANNY ACOSTA",0,0,0,0,0,0,0,0,0,0,0,0,0
"368","MANNY BARREDA",0,0,0,0,0,0,0,0,0,0,0,0,0
"369","MANNY RODRIGUEZ",69,12,22,5,0,1,17,3,10,0,0,0,0
"370","MANUEL AL FLORES",0,0,0,0,0,0,0,0,0,0,0,0,0
"371","MANUEL BAEZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"372","MANUEL CRUZ",1,0,0,0,0,0,0,1,0,0,0,0,0
